BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating,Hours,Segment,SellingDates,UniqueID
36,2,2,2020-08-18 18:37:29,8.0,F3070,1,1,18,F3,2020-08-18,362020-08-18
37,2,1,2020-08-18 18:37:41,8.0,F3336,1,1,18,F3,2020-08-18,372020-08-18
38,2,2,2020-08-20 18:31:48,8.0,F3053,1,4,18,F3,2020-08-20,382020-08-20
43,2,1,2020-08-20 18:49:24,8.0,F3762,1,2,18,F3,2020-08-20,432020-08-20
45,2,1,2020-08-20 18:49:58,8.0,F3695,1,4,18,F3,2020-08-20,452020-08-20
68,2,2,2020-08-19 18:30:33,8.0,F3315,3,2,18,F3,2020-08-19,682020-08-19
70,2,1,2020-08-21 18:09:14,8.0,F3607,2,1,18,F3,2020-08-21,702020-08-21
71,2,1,2020-08-19 18:35:57,8.0,F3542,1,2,18,F3,2020-08-19,712020-08-19
71,2,1,2020-08-21 18:09:28,8.0,F3764,2,1,18,F3,2020-08-21,712020-08-21
72,2,1,2020-08-21 18:09:40,8.0,F3879,1,3,18,F3,2020-08-21,722020-08-21
73,2,1,2020-08-21 18:09:47,8.0,F3768,1,5,18,F3,2020-08-21,732020-08-21
79,2,2,2020-08-21 18:17:32,8.0,F3764,2,4,18,F3,2020-08-21,792020-08-21
81,2,4,2020-08-22 18:14:36,8.0,F3053,1,3,18,F3,2020-08-22,812020-08-22
83,2,2,2020-08-22 18:15:09,8.0,F3835,1,2,18,F3,2020-08-22,832020-08-22
84,2,2,2020-08-22 18:15:24,8.0,F3589,1,5,18,F3,2020-08-22,842020-08-22
86,2,2,2020-08-22 18:15:43,8.0,F3519,1,2,18,F3,2020-08-22,862020-08-22
88,2,1,2020-08-22 18:16:23,8.0,F3589,1,5,18,F3,2020-08-22,882020-08-22
88,2,2,2020-08-21 18:26:41,8.0,F3891,1,2,18,F3,2020-08-21,882020-08-21
89,2,1,2020-08-21 18:26:57,8.0,F3652,1,5,18,F3,2020-08-21,892020-08-21
96,2,1,2020-08-21 18:35:43,8.0,F3411,1,4,18,F3,2020-08-21,962020-08-21
