Users,Items
15492020-10-03,"[15, 128, 142]"
19252020-09-30,"[26, 160, 173]"
2142020-09-21,[160]
11222020-10-26,[169]
8622020-11-29,[128]
8622020-11-28,[128]
8622020-11-27,"[151, 177]"
8622020-11-26,[1]
14032020-08-24,[19]
8622020-11-24,[134]
8622020-11-23,[128]
8622020-11-22,[130]
8622020-11-21,[128]
8622020-11-20,[169]
322020-08-18,[123]
322020-08-19,"[2, 123]"
6172020-10-31,[134]
3002020-11-19,[1]
322020-08-12,[107]
322020-08-13,"[128, 132, 155]"
322020-08-11,"[12, 156, 157]"
322020-08-16,"[16, 146, 148, 151]"
8692020-11-21,[18]
322020-08-14,[161]
322020-08-15,[12]
5742020-11-08,[142]
10032020-09-29,[142]
10032020-09-28,[130]
10032020-09-25,"[21, 156, 160, 184]"
10032020-09-24,[12]
1742020-10-18,"[2, 123]"
10032020-09-26,"[134, 154]"
10032020-09-21,[76]
10032020-09-20,[154]
10032020-09-22,"[139, 154]"
6892020-10-12,"[124, 154]"
2982020-08-17,"[151, 155]"
2242020-08-18,[146]
2452020-10-21,[192]
14322020-09-11,"[108, 130, 169]"
1292020-08-16,[161]
14322020-09-12,[128]
2992020-10-17,[171]
11712020-10-21,"[22, 128, 142]"
11602020-09-07,"[76, 141]"
11712020-10-23,[134]
11712020-10-22,[94]
11712020-10-25,[164]
11712020-10-24,[76]
11712020-10-26,"[128, 154]"
11712020-10-29,[146]
14322020-09-14,[105]
1292020-08-15,[161]
11602020-09-05,[154]
6892020-10-17,[159]
2292020-09-01,"[130, 154]"
16832020-09-21,[170]
19182020-10-20,[76]
2292020-09-02,[76]
2292020-09-05,"[105, 167, 172, 176]"
15782020-10-17,[134]
3202020-10-30,"[15, 76, 108]"
2292020-09-06,"[151, 164]"
2292020-09-09,[151]
2292020-09-08,"[140, 154]"
2322020-08-17,"[134, 161]"
2322020-08-16,"[148, 151]"
14332020-09-09,"[18, 170]"
2322020-08-13,[16]
4842020-09-16,"[146, 151]"
7892020-11-10,"[15, 173]"
15782020-10-19,[76]
7892020-11-12,[138]
7892020-11-13,[142]
7892020-11-14,[133]
7892020-11-15,[146]
7892020-11-16,[124]
7892020-11-17,"[76, 138]"
7892020-11-18,[128]
7892020-11-19,[124]
13882020-10-07,"[93, 142]"
13882020-10-06,[154]
13882020-10-01,"[128, 134]"
6892020-10-18,[154]
13882020-10-03,"[76, 128, 146, 151]"
3422020-08-21,"[146, 151]"
10132020-11-19,[128]
15712020-09-22,"[100, 107]"
2142020-09-25,[179]
8002020-09-06,[154]
6802020-09-22,[154]
10762020-08-19,"[21, 46]"
10762020-08-18,"[107, 134, 154]"
5502020-11-10,[141]
5502020-11-11,[151]
5502020-11-12,[124]
5502020-11-13,[128]
5502020-11-14,[154]
5502020-11-15,[142]
5502020-11-16,[76]
5502020-11-17,"[2, 76]"
5502020-11-18,"[151, 164]"
5502020-11-19,"[76, 154]"
19622020-10-08,[169]
3252020-08-19,[169]
4272020-08-29,"[148, 154]"
6802020-09-26,"[128, 169]"
2142020-09-24,"[108, 169]"
7932020-09-05,"[154, 156]"
2712020-11-27,"[151, 154, 164, 184]"
6802020-09-28,[151]
7852020-09-26,"[146, 151, 177]"
3142020-11-18,[169]
3252020-08-15,[130]
3142020-11-16,[154]
3142020-11-17,[20]
3142020-11-14,"[100, 193]"
3142020-11-15,[151]
3142020-11-13,"[146, 151]"
3142020-11-10,[142]
3142020-11-11,"[151, 170]"
17682020-10-08,[169]
3252020-08-17,"[155, 167]"
2712020-11-23,"[76, 151, 164]"
6792020-08-18,"[128, 159]"
6792020-08-19,[134]
6792020-08-17,[154]
7932020-09-04,[154]
16002020-11-17,[48]
16512020-09-20,[169]
1142020-09-06,[159]
8122020-09-09,[128]
4912020-08-18,[156]
3942020-09-25,[151]
8122020-09-05,[76]
8122020-09-04,"[123, 128]"
8122020-09-07,"[76, 107]"
8122020-09-06,"[130, 141]"
8122020-09-01,"[74, 154]"
8122020-09-03,"[4, 161]"
8122020-09-02,[124]
5962020-11-16,[20]
5962020-11-17,"[15, 20, 20, 128, 154]"
5962020-11-14,"[128, 134]"
5962020-11-15,[132]
5962020-11-12,"[130, 132, 134]"
5962020-11-13,"[21, 76]"
5962020-11-10,[188]
5962020-11-11,[134]
8952020-09-20,"[93, 154, 159]"
8952020-09-21,"[128, 170]"
8952020-09-22,"[133, 154, 156]"
8952020-09-23,[130]
8952020-09-24,"[134, 170]"
8952020-09-25,"[100, 108]"
5962020-11-18,"[76, 128, 154]"
8952020-09-27,[22]
1142020-09-07,[107]
5122020-10-30,[22]
1272020-10-16,[169]
212020-09-24,[169]
212020-09-25,[123]
212020-09-26,[2]
212020-09-27,"[2, 107]"
212020-09-20,[156]
212020-09-21,[2]
212020-09-22,"[2, 107]"
212020-09-23,[175]
4082020-08-28,[124]
212020-09-28,[2]
212020-09-29,[2]
1142020-09-04,"[140, 146, 148, 151, 169]"
1722020-08-26,[25]
4322020-10-19,[187]
16622020-10-24,"[155, 169]"
15592020-11-28,"[130, 134]"
8002020-09-07,"[148, 151]"
16622020-10-25,"[140, 141, 146, 151]"
7932020-09-09,[148]
782020-10-09,[2]
14862020-09-07,[22]
1142020-09-05,[154]
16842020-09-27,[169]
1512020-09-29,[2]
1512020-09-28,"[2, 179]"
8132020-08-23,[128]
8132020-08-22,[46]
17662020-09-29,[128]
8132020-08-24,[46]
8132020-08-27,[134]
8132020-08-26,"[155, 156]"
14522020-10-03,"[74, 100, 100, 182]"
1512020-09-20,"[107, 169]"
1512020-09-23,"[19, 25, 169]"
1512020-09-22,[93]
1512020-09-25,[2]
14522020-10-06,[142]
1512020-09-27,"[2, 169]"
17662020-09-22,[107]
9382020-11-19,[1]
18462020-09-30,"[128, 154]"
9362020-08-24,[156]
18762020-10-18,[169]
6272020-09-08,[157]
6292020-08-17,[128]
13192020-09-19,[155]
13192020-09-16,"[12, 76, 76, 107, 169]"
6292020-08-18,[156]
13192020-09-15,[134]
13192020-09-12,"[141, 154, 169]"
13192020-09-13,[128]
13192020-09-11,"[74, 128, 156]"
12142020-09-16,"[134, 173]"
7042020-08-19,[161]
18062020-10-08,[134]
18062020-10-09,"[129, 169]"
10802020-10-21,[130]
18062020-10-04,[189]
18062020-10-05,"[12, 76]"
18062020-10-01,[141]
18062020-10-02,[128]
18062020-10-03,[161]
462020-09-25,"[2, 123]"
462020-09-24,[169]
462020-09-27,[2]
462020-09-26,"[2, 123]"
462020-09-21,"[2, 2, 46, 107]"
462020-09-20,[2]
462020-09-23,[2]
8602020-08-20,[123]
2582020-08-24,[156]
462020-09-29,[170]
462020-09-28,[2]
8602020-08-29,"[14, 15, 45, 107]"
12142020-09-13,[128]
14742020-08-23,[170]
19012020-10-24,[139]
12142020-09-10,[154]
15132020-09-18,"[128, 134, 139]"
15132020-09-19,"[105, 107]"
15132020-09-17,[93]
15132020-09-14,[134]
10802020-10-27,[12]
15132020-09-13,[12]
15132020-09-11,"[25, 25, 130, 154]"
7012020-11-10,[132]
7012020-11-11,[142]
7012020-11-12,[15]
7012020-11-13,"[146, 151]"
7012020-11-14,[128]
7012020-11-15,"[128, 170]"
7012020-11-16,"[146, 151]"
7012020-11-17,[128]
7012020-11-18,[151]
7012020-11-19,"[130, 151]"
7172020-11-27,[154]
1142020-09-01,[148]
17712020-10-18,"[156, 173]"
4322020-10-12,"[146, 151]"
7092020-09-13,[155]
10652020-09-19,[154]
2882020-11-02,"[22, 107, 175]"
2882020-11-01,"[131, 133]"
18132020-09-10,[134]
2882020-11-07,[20]
2882020-11-06,"[146, 151]"
2882020-11-05,[50]
2882020-11-04,[139]
18132020-09-17,[134]
2882020-11-09,[129]
2882020-11-08,"[151, 151, 164]"
5352020-11-15,[128]
12782020-10-23,"[128, 176]"
12782020-10-22,"[134, 154]"
12782020-10-21,[141]
17992020-09-20,[156]
12782020-10-27,"[128, 170]"
12782020-10-25,"[76, 169]"
12782020-10-24,[129]
6272020-10-31,"[1, 128]"
12782020-10-28,[142]
10682020-09-18,[169]
10832020-11-07,[175]
17992020-09-26,[134]
14652020-10-23,[15]
17712020-10-10,"[141, 176]"
6002020-08-17,"[135, 154, 161]"
5352020-11-10,[169]
7472020-11-16,[124]
4072020-10-22,"[76, 93]"
