0,1,2
frozenset([141]),0.0133518868,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([141]), confidence=0.013351886823708711, lift=1.0)]"
frozenset([15]),0.0129998675,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([15]), confidence=0.012999867475068747, lift=1.0)]"
"frozenset(['23H', 134])",0.0126934036,"[OrderedStatistic(items_base=frozenset([134]), items_add=frozenset(['23H']), confidence=0.27016306743058616, lift=1.2472688408485155), OrderedStatistic(items_base=frozenset(['23H']), items_add=frozenset([134]), confidence=0.05860196550801117, lift=1.2472688408485155)]"
"frozenset(['F3', 151])",0.0126519895,"[OrderedStatistic(items_base=frozenset([151]), items_add=frozenset(['F3']), confidence=0.25287641751510637, lift=0.9224344932225643), OrderedStatistic(items_base=frozenset(['F3']), items_add=frozenset([151]), confidence=0.04615152201827932, lift=0.9224344932225642)]"
frozenset([139]),0.0124739092,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([139]), confidence=0.012473909154159626, lift=1.0)]"
"frozenset(['20H', 154])",0.0123910811,"[OrderedStatistic(items_base=frozenset([154]), items_add=frozenset(['20H']), confidence=0.14319215123235224, lift=1.0293158764302552), OrderedStatistic(items_base=frozenset(['20H']), items_add=frozenset([154]), confidence=0.08907147747908666, lift=1.0293158764302552)]"
"frozenset(['F3', 134])",0.0122295663,"[OrderedStatistic(items_base=frozenset([134]), items_add=frozenset(['F3']), confidence=0.26029087703834286, lift=0.9494807210995758), OrderedStatistic(items_base=frozenset(['F3']), items_add=frozenset([134]), confidence=0.04461062013747262, lift=0.9494807210995758)]"
frozenset([170]),0.0118361329,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([170]), confidence=0.011836132922506046, lift=1.0)]"
frozenset([26]),0.0118237087,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([26]), confidence=0.011823708710201107, lift=1.0)]"
frozenset([22]),0.0117574462,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([22]), confidence=0.011757446244574761, lift=1.0)]"
"frozenset(['F1', '21H'])",0.0117325978,"[OrderedStatistic(items_base=frozenset(['21H']), items_add=frozenset(['F1']), confidence=0.09059512007930672, lift=0.84523241276727), OrderedStatistic(items_base=frozenset(['F1']), items_add=frozenset(['21H']), confidence=0.10946254008732274, lift=0.84523241276727)]"
frozenset([74]),0.0116746182,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([74]), confidence=0.011674618162541828, lift=1.0)]"
"frozenset(['23H', 76])",0.0116414869,"[OrderedStatistic(items_base=frozenset([76]), items_add=frozenset(['23H']), confidence=0.2054223911137094, lift=0.9483788812642104), OrderedStatistic(items_base=frozenset(['23H']), items_add=frozenset([76]), confidence=0.053745554663301595, lift=0.9483788812642104)]"
frozenset([108]),0.0115710831,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([108]), confidence=0.011571083060000662, lift=1.0)]"
frozenset([129]),0.0114219925,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([129]), confidence=0.011421992512341383, lift=1.0)]"
"frozenset(['F2', 151])",0.0114054269,"[OrderedStatistic(items_base=frozenset([151]), items_add=frozenset(['F2']), confidence=0.22796126148497642, lift=0.7814372237820606), OrderedStatistic(items_base=frozenset(['F2']), items_add=frozenset([151]), confidence=0.03909710391822828, lift=0.7814372237820605)]"
frozenset([188]),0.0113018918,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([188]), confidence=0.011301891793393632, lift=1.0)]"
"frozenset(['F4', '17H'])",0.0111320942,"[OrderedStatistic(items_base=frozenset(['17H']), items_add=frozenset(['F4']), confidence=0.1278538812785388, lift=0.719679921417374), OrderedStatistic(items_base=frozenset(['F4']), items_add=frozenset(['17H']), confidence=0.0626617245961256, lift=0.719679921417374)]"
frozenset([93]),0.0109747209,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([93]), confidence=0.010974720869363548, lift=1.0)]"
"frozenset([76, '22H'])",0.0106019945,"[OrderedStatistic(items_base=frozenset([76]), items_add=frozenset(['22H']), confidence=0.1870798012277112, lift=1.0447048363470874), OrderedStatistic(items_base=frozenset(['22H']), items_add=frozenset([76]), confidence=0.05920444033302498, lift=1.0447048363470874)]"
"frozenset(['F4', 76])",0.0104446211,"[OrderedStatistic(items_base=frozenset([76]), items_add=frozenset(['F4']), confidence=0.18430283542823733, lift=1.037426856280017), OrderedStatistic(items_base=frozenset(['F4']), items_add=frozenset([76]), confidence=0.05879199011585891, lift=1.037426856280017)]"
frozenset([161]),0.0104404797,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([161]), confidence=0.010440479740251135, lift=1.0)]"
"frozenset(['01H', 'F4'])",0.0104197727,"[OrderedStatistic(items_base=frozenset(['01H']), items_add=frozenset(['F4']), confidence=0.19555417379138815, lift=1.1007597971970942), OrderedStatistic(items_base=frozenset(['F4']), items_add=frozenset(['01H']), confidence=0.058652120194885415, lift=1.100759797197094)]"
"frozenset([169, '23H'])",0.0103452274,"[OrderedStatistic(items_base=frozenset([169]), items_add=frozenset(['23H']), confidence=0.201046277665996, lift=0.9281755648032974), OrderedStatistic(items_base=frozenset(['23H']), items_add=frozenset([169]), confidence=0.04776107988222248, lift=0.9281755648032973)]"
"frozenset(['21H', 151])",0.0098979558,"[OrderedStatistic(items_base=frozenset([151]), items_add=frozenset(['21H']), confidence=0.1978313053555169, lift=1.527585888406656), OrderedStatistic(items_base=frozenset(['21H']), items_add=frozenset([151]), confidence=0.07642863995395094, lift=1.5275858884066558)]"
